Symbol,GICS Sector,GICS Sub-Industry,fetched_at_utc
A,Health Care,Life Sciences Tools & Services,2026-01-07T13:10:16.321436+00:00
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",2026-01-07T13:10:16.321436+00:00
ABBV,Health Care,Biotechnology,2026-01-07T13:10:16.321436+00:00
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-01-07T13:10:16.321436+00:00
ABT,Health Care,Health Care Equipment,2026-01-07T13:10:16.321436+00:00
ACGL,Financials,Property & Casualty Insurance,2026-01-07T13:10:16.321436+00:00
ACN,Information Technology,IT Consulting & Other Services,2026-01-07T13:10:16.321436+00:00
ADBE,Information Technology,Application Software,2026-01-07T13:10:16.321436+00:00
ADI,Information Technology,Semiconductors,2026-01-07T13:10:16.321436+00:00
ADM,Consumer Staples,Agricultural Products & Services,2026-01-07T13:10:16.321436+00:00
ADP,Industrials,Human Resource & Employment Services,2026-01-07T13:10:16.321436+00:00
ADSK,Information Technology,Application Software,2026-01-07T13:10:16.321436+00:00
AEE,Utilities,Multi-Utilities,2026-01-07T13:10:16.321436+00:00
AEP,Utilities,Electric Utilities,2026-01-07T13:10:16.321436+00:00
AES,Utilities,Independent Power Producers & Energy Traders,2026-01-07T13:10:16.321436+00:00
AFL,Financials,Life & Health Insurance,2026-01-07T13:10:16.321436+00:00
AIG,Financials,Multi-line Insurance,2026-01-07T13:10:16.321436+00:00
AIZ,Financials,Multi-line Insurance,2026-01-07T13:10:16.321436+00:00
AJG,Financials,Insurance Brokers,2026-01-07T13:10:16.321436+00:00
AKAM,Information Technology,Internet Services & Infrastructure,2026-01-07T13:10:16.321436+00:00
ALB,Materials,Specialty Chemicals,2026-01-07T13:10:16.321436+00:00
ALGN,Health Care,Health Care Supplies,2026-01-07T13:10:16.321436+00:00
ALL,Financials,Property & Casualty Insurance,2026-01-07T13:10:16.321436+00:00
ALLE,Industrials,Building Products,2026-01-07T13:10:16.321436+00:00
AMAT,Information Technology,Semiconductor Materials & Equipment,2026-01-07T13:10:16.321436+00:00
AMCR,Materials,Paper & Plastic Packaging Products & Materials,2026-01-07T13:10:16.321436+00:00
AMD,Information Technology,Semiconductors,2026-01-07T13:10:16.321436+00:00
AME,Industrials,Electrical Components & Equipment,2026-01-07T13:10:16.321436+00:00
AMGN,Health Care,Biotechnology,2026-01-07T13:10:16.321436+00:00
AMP,Financials,Asset Management & Custody Banks,2026-01-07T13:10:16.321436+00:00
AMT,Real Estate,Telecom Tower REITs,2026-01-07T13:10:16.321436+00:00
AMZN,Consumer Discretionary,Broadline Retail,2026-01-07T13:10:16.321436+00:00
